scenario,true_middle_mm,true_variation_mm,usable_step_mm,starting_variation_mm,article_count,first_seed,repetitions,overlap_runs,paused_runs,invariant_failures,nonfinite_requests,out_of_bounds_requests,off_grid_requests,immediate_duplicate_requests,invalid_stage_values,stage_reversals,budget_overruns,measurement_count_failures,invalid_fits,probability_direction_failures,missing_pause_reasons,replay_matches,middle_bias_mm,middle_rmse_mm,variation_bias_mm,variation_rmse_mm,median_run_seconds,maximum_run_seconds,execution_mode
107,5,0.15,0.5,1,20,202716141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0105432,0.0117877,serial
108,8.5,0.15,0.5,1,20,202717141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0105612,0.0109869,serial
109,1.5,0.25,0.5,1,20,202718141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152496356596208,0.152496356596208,0.252356332143299,0.252356332143299,0.0101438,0.091976,serial
110,5,0.25,0.5,1,20,202719141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.227618392511456,0.227618392511456,0.0508263520546178,0.0508263520546178,0.0111506,0.1247647,serial
111,8.5,0.25,0.5,1,20,202720141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0097015,0.0113136,serial
112,1.5,0.5,0.5,1,20,202721141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0734172016196874,0.194842260303443,0.158277434958517,0.260162628221454,0.1070511,0.1374069,serial
113,5,0.5,0.5,1,20,202722141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.132434388574362,0.160392676070368,0.0322859607410524,0.115461304611547,0.0937551,0.1754197,serial
114,8.5,0.5,0.5,1,20,202723141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.283106341871835,0.298534427050646,0.185936417464014,0.193380613621247,0.0120635,0.1139059,serial
115,1.5,1,0.5,1,20,202724141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.379765175041995,0.456221362989818,0.0478582198539029,0.232912302877287,0.1224903,0.1293731,serial
116,5,1,0.5,1,20,202725141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.164146075084656,0.403331909020316,0.195853179864232,0.334712479502143,0.1382736,0.1409298,serial
117,8.5,1,0.5,1,20,202726141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.116400534783162,0.317366198848907,-0.12153800660892,0.149815796624362,0.1130229,0.1302892,serial
118,1.5,1.5,0.5,1,20,202727141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.236548849115525,0.325215688454921,-0.529780452034004,0.628835818674526,0.1331491,0.141726,serial
119,5,1.5,0.5,1,20,202728141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.102266951285319,0.450663120583585,0.0539241450715927,0.469359332061375,0.130376,0.1679411,serial
120,8.5,1.5,0.5,1,20,202729141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.34649889952222,0.631101501623237,-0.274158972393102,0.424987482461934,0.1199649,0.1218994,serial
121,1.5,0.15,0.05,2,20,202730141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0128502,0.0143894,serial
122,5,0.15,0.05,2,20,202731141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0311601035220436,0.0411282167040951,-0.0566871016543653,0.0594166936489865,0.096997,0.1053185,serial
123,8.5,0.15,0.05,2,20,202732141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0121749,0.0132118,serial
124,1.5,0.25,0.05,2,20,202733141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.129183352730499,0.129631753001324,0.134337383753163,0.134338396647051,0.0139274,0.133722,serial
125,5,0.25,0.05,2,20,202734141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0457991406129077,0.111046905914173,-0.00775440996957824,0.148444654672461,0.1185514,0.1340362,serial
126,8.5,0.25,0.05,2,20,202735141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11562300320598,0.205882505573227,0.134944607603743,0.213353285219077,0.0123778,0.1064897,serial
127,1.5,0.5,0.05,2,20,202736141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.222103712158714,0.234274062601378,-0.111295940907733,0.173977140272407,0.1062912,0.1573981,serial
128,5,0.5,0.05,2,20,202737141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0169330666281635,0.20213460585927,-0.08962718028956,0.217295006159365,0.1083876,0.1483991,serial
129,8.5,0.5,0.05,2,20,202738141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.338933429157546,0.338933429157546,-0.277711021495753,0.277711021495753,0.0109528,0.1009209,serial
