budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,execution_mode,scenario_shard_index,scenario_shard_count,seed,repeated_setting_rate,nonfinite_fit_rate
20,0.1,0.1,1,0.015,5,0.00670820393249937,0.25,0.025,300,0.726666666666667,0.73,0,0.00276089438335162,0.0650323633604329,0.0180005491740348,0.0496036353292765,0.00540181849082999,0.0199944874741608,11.2233333333333,9.03,process-shard,2,4,20260912,0.561166666666665,0.273333333333333
20,0.1,0.1,1,0.015,5,0.00670820393249937,0.5,0.05,300,0.81,0.813333333333333,0.00666666666666667,-0.00207555192695092,0.055264152875281,0.00349432893259676,0.0462450802168656,0.00540181849083001,0.0399889749483217,11.65,8.54666666666667,process-shard,1,4,20260912,0.5825,0.19
20,0.1,0.1,1,0.03,4,0.015,0,0,300,0.77,0.77,0,4.71786227968216e-06,0.0490759212782287,0.0117362163394521,0.0355101913302164,0.0120265404726299,0,10.6,8.39666666666667,process-shard,4,4,20260912,0.53,0.23
20,0.1,0.1,1,0.03,4,0.015,0.25,0.025,300,0.79,0.79,0,0.00318225835965011,0.0547264183735392,0.0123000392522799,0.0421382241700968,0.0120265404726299,0.0200876535556413,10.9333333333333,8.15666666666667,process-shard,3,4,20260912,0.546666666666665,0.21
20,0.1,0.1,1,0.03,4,0.015,0.5,0.05,300,0.833333333333333,0.83,0.01,0.00151485946573355,0.0572430100192127,0.00404042329692655,0.0488310939765739,0.0120265404726299,0.0401753071112826,11.6466666666667,8.57666666666667,process-shard,2,4,20260912,0.582333333333335,0.166666666666667
20,0.1,0.1,1,0.03,5,0.0134164078649987,0,0,300,0.676666666666667,0.676666666666667,0,-0.000242033618576937,0.0475087635272281,0.0121578863612891,0.0364654591618214,0.010645265293508,0,11.14,9.48666666666667,process-shard,1,4,20260912,0.557,0.323333333333333
20,0.1,0.1,1,0.03,5,0.0134164078649987,0.25,0.025,300,0.713333333333333,0.713333333333333,0,0.00408876505204206,0.0508406901109881,0.0113134573942601,0.0406105247858297,0.0106452652935081,0.0200798108249897,11.3366666666667,9.33666666666667,process-shard,4,4,20260912,0.566833333333335,0.286666666666667
20,0.1,0.1,1,0.03,5,0.0134164078649987,0.5,0.05,300,0.786666666666667,0.786666666666667,0.00666666666666667,0.00344261637680709,0.0529083465152287,0.000679346943620361,0.0446929347951499,0.0106452652935081,0.0401596216499794,11.7566666666667,8.92,process-shard,3,4,20260912,0.587833333333335,0.213333333333333
20,0.1,0.1,2,0.015,4,0.0075,0,0,300,0.78,0.78,0,-0.000569775530376355,0.0529770013323561,0.0165413954522269,0.0414248941923139,0.0059044775901462,0,10.6666666666667,8.77666666666667,process-shard,3,4,20260912,0.533333333333335,0.22
20,0.1,0.1,2,0.015,4,0.0075,0.25,0.025,300,0.756666666666667,0.756666666666667,0,0.000765545697448725,0.0536613585355459,0.0140235317396036,0.0425299713066802,0.0059044775901462,0.0200199196600536,11.1533333333333,8.79333333333333,process-shard,2,4,20260912,0.557666666666665,0.243333333333333
20,0.1,0.1,2,0.015,4,0.0075,0.5,0.05,300,0.783333333333333,0.78,0.00333333333333333,0.0041804236261723,0.0485262332510566,0.00260835545222315,0.0434512274445351,0.0059044775901462,0.0400398393201072,11.72,8.95666666666667,process-shard,1,4,20260912,0.586,0.216666666666667
20,0.1,0.1,2,0.015,5,0.00670820393249937,0,0,300,0.716666666666667,0.716666666666667,0,0.00433709039690631,0.0612239602117827,0.0172496683275229,0.0457370434476771,0.00540181849083,0,11.02,9.49,process-shard,4,4,20260912,0.551,0.283333333333333
20,0.1,0.1,2,0.015,5,0.00670820393249937,0.25,0.025,300,0.753333333333333,0.753333333333333,0,0.00308509432498586,0.054009387435898,0.0144060493402773,0.0442240188028336,0.00540181849082999,0.0199944874741608,11.1333333333333,8.89333333333333,process-shard,3,4,20260912,0.556666666666665,0.246666666666667
20,0.1,0.1,2,0.015,5,0.00670820393249937,0.5,0.05,300,0.766666666666667,0.773333333333333,0.00333333333333333,-0.00445451611854498,0.0486488653884213,0.00371737051634753,0.0434504027727284,0.00540181849083001,0.0399889749483217,11.69,8.73666666666667,process-shard,2,4,20260912,0.5845,0.233333333333333
20,0.1,0.1,2,0.03,4,0.015,0,0,300,0.773333333333333,0.773333333333333,0,-0.00219963389137327,0.0479938677766361,0.013523088326974,0.035242008692562,0.0120265404726299,0,10.6233333333333,8.47,process-shard,1,4,20260912,0.531166666666665,0.226666666666667
20,0.1,0.1,2,0.03,4,0.015,0.25,0.025,300,0.836666666666667,0.836666666666667,0,0.00298539671695422,0.0661212566029564,0.018357191795302,0.0510960111410605,0.0120265404726299,0.0200876535556413,10.8233333333333,7.98333333333333,process-shard,4,4,20260912,0.541166666666665,0.163333333333333
20,0.1,0.1,2,0.03,4,0.015,0.5,0.05,300,0.8,0.8,0.00333333333333333,0.00342159282193642,0.0512268330281647,0.00361084146566191,0.0465928929826879,0.0120265404726299,0.0401753071112826,11.68,8.63333333333333,process-shard,3,4,20260912,0.584,0.2
20,0.1,0.1,2,0.03,5,0.0134164078649987,0,0,300,0.69,0.69,0,0.00208819606814622,0.0555939526332056,0.0166354424146834,0.0424182146782824,0.010645265293508,0,11.1533333333333,9.52666666666667,process-shard,2,4,20260912,0.557666666666665,0.31
20,0.1,0.1,2,0.03,5,0.0134164078649987,0.25,0.025,300,0.723333333333333,0.723333333333333,0,-0.00469432773662912,0.0581297735721008,0.0143258442164671,0.0454073369167691,0.010645265293508,0.0200798108249897,11.3266666666667,9.4,process-shard,1,4,20260912,0.566333333333335,0.276666666666667
